ID,Career Path,Field,Specialization,Required Skills
CP0215,Healthcare - Medical Researcher,Healthcare,Medical Researcher,"Geriatrics, Laboratory Procedures, Medication Administration, Medical Coding, Medical Terminology, Rehabilitation, Therapy, Anatomy, Healthcare Management, CPT Codes, Medical Billing, Medical Diagnosis, Cardiology"
CP0216,Marketing - Product Marketing Manager,Marketing,Product Marketing Manager,"Competitive Analysis, Lead Generation, Marketing Metrics, Customer Segmentation, Digital Marketing, Marketo, Illustrator, Influencer Marketing, CRM, A/B Testing, Conversion Rate Optimization"
CP0217,Finance - Hedge Fund Analyst,Finance,Hedge Fund Analyst,"Python for Finance, Quantitative Analysis, Estate Planning, SAS, Financial Modeling, Wealth Management, R Programming, Algorithmic Trading, Budgeting, CFA, Valuation, VBA, Retirement Planning, Private Equity, GAAP, FINRA"
CP0218,Healthcare - Nutritionist,Healthcare,Nutritionist,"Sterilization, Nutrition, Neurology, Radiology, Patient Assessment, Surgical Procedures, Medical Terminology, Medical Records, Clinical Experience, Therapy, Treatment Planning"
CP0219,Healthcare - Medical Researcher,Healthcare,Medical Researcher,"Treatment Planning, Epidemiology, Healthcare IT, Laboratory Procedures, Medication Administration, Care Planning, Medical Records, Pharmacology, Wellness, Orthopedics, Emergency Medicine, Clinical Experience, Pathology, Physiology, Patient Education, CPT Codes, Infection Control, Electronic Health Records"
CP0220,Computer Science - DevOps Engineer,Computer Science,DevOps Engineer,"C++, Sketch, Swift, CSS, Ethical Hacking, PyTorch, Responsive Design, Docker, RESTful APIs, CI/CD, Scikit-learn, Unity, Cloud Computing, Agile, Microservices, Penetration Testing, Spring, Linux, HTML"
CP0221,Healthcare - Healthcare Administrator,Healthcare,Healthcare Administrator,"Anatomy, HIPAA, Clinical Experience, Epidemiology, Orthopedics, Pharmacology, Sterilization, Healthcare Management, Healthcare Regulations, Medical Diagnosis, Medical Coding, Emergency Medicine, Surgical Procedures, Healthcare IT, Patient Care, Medical Records, Medical Billing"
CP0222,Healthcare - Physician,Healthcare,Physician,"Medical Billing, ICD-10, Pharmacology, Rehabilitation, Neurology, Surgical Procedures, Public Health, Patient Education, Healthcare Management, Medication Administration, HIPAA, Health Policy, Cardiology, Medical Terminology"
CP0223,Healthcare - Veterinarian,Healthcare,Veterinarian,"Nutrition, Sterilization, Medical Terminology, Pediatrics, Vital Signs, Laboratory Procedures, Geriatrics, Medication Administration, Infection Control, Emergency Medicine, Clinical Experience, Clinical Trials, Public Health, Oncology, Medical Diagnosis"
CP0224,Computer Science - UI/UX Designer,Computer Science,UI/UX Designer,"GraphQL, UX Design, Unity, Sketch, Big Data, Docker, Flask, Java, Angular, SQL, CI/CD, Vue.js, Scrum, Node.js"
CP0225,Healthcare - Nutritionist,Healthcare,Nutritionist,"Oncology, Medical Research, Emergency Medicine, Medical Diagnosis, Therapy, Medical Billing, Neurology, Infection Control, Healthcare Management, Epidemiology, Clinical Experience, ICD-10, Medical Coding, Healthcare Regulations, Physiology"
CP0226,Finance - Financial Analyst,Finance,Financial Analyst,"Series 7, Investment Management, Retirement Planning, Financial Analysis, Excel, Insurance Planning, IPOs, Algorithmic Trading, R Programming, Forecasting"
CP0227,Finance - Quantitative Analyst,Finance,Quantitative Analyst,"Estate Planning, Derivatives, Fixed Income, STATA, R Programming, Quantitative Analysis, SAS, Financial Statements, Equity Research, Series 63, Risk Assessment, Wealth Management, Accounting"
CP0228,Finance - Compliance Officer,Finance,Compliance Officer,"Risk Assessment, Estate Planning, Retirement Planning, STATA, Algorithmic Trading, Capital Markets, Private Equity, Regulatory Compliance, Series 7, Hedge Funds, Mergers & Acquisitions, Derivatives"
CP0229,Computer Science - Software Architect,Computer Science,Software Architect,"Agile, Game Development, C++, Scikit-learn, System Design, Ethical Hacking, Kotlin, Windows Server, Mobile Development, iOS"
CP0230,Finance - Risk Manager,Finance,Risk Manager,"Python for Finance, Retirement Planning, Regulatory Compliance, Capital Markets, Private Equity, Insurance Planning, Due Diligence, Wealth Management, Risk Assessment, GAAP, Valuation, Derivatives, Financial Modeling, IPOs, Tax Planning, CFA, Series 63"
CP0231,Finance - Investment Banker,Finance,Investment Banker,"IPOs, FINRA, STATA, Tax Planning, Accounting, Forecasting, Credit Analysis, Budgeting, Algorithmic Trading, Estate Planning, Wealth Management, Fixed Income, Series 63, GAAP, Regulatory Compliance"
CP0232,Finance - Trader,Finance,Trader,"Portfolio Management, Wealth Management, Accounting, Credit Analysis, Insurance Planning, Risk Assessment, Mergers & Acquisitions, IPOs, R Programming, Due Diligence, Hedge Funds, Capital Markets, Tax Planning, IFRS, Estate Planning"
CP0233,Finance - Auditor,Finance,Auditor,"CFA, Forecasting, Fixed Income, Accounting, Insurance Planning, Regulatory Compliance, IPOs, Mergers & Acquisitions, GAAP, Python for Finance, VBA, FINRA, Series 63"
CP0234,Marketing - Social Media Manager,Marketing,Social Media Manager,"HubSpot, Conversion Rate Optimization, Mailchimp, Mobile Marketing, Growth Hacking, Marketing Automation, Social Media Strategy, Public Relations, Photoshop, Affiliate Marketing, Campaign Management, Email Marketing, Video Marketing, Content Creation, WordPress, CRM, User Acquisition, Media Relations, Canva, Illustrator"
CP0235,Healthcare - Veterinarian,Healthcare,Veterinarian,"Cardiology, Care Planning, Geriatrics, Pharmacology, Healthcare Regulations, Medical Research, Orthopedics, Medical Diagnosis, Therapy, Healthcare Management, Medical Records, Oncology, Wound Care, Patient Care"
CP0236,Computer Science - Frontend Developer,Computer Science,Frontend Developer,"Adobe XD, Web Development, DevOps, Blockchain, Mobile Development, Machine Learning, Cloud Computing, C++, Natural Language Processing, Security, Big Data, Windows Server, NoSQL, Data Visualization"
CP0237,Healthcare - Dentist,Healthcare,Dentist,"Healthcare Management, Health Policy, Medical Billing, Epidemiology, Vital Signs, Electronic Health Records, Clinical Experience, Medical Diagnosis, Clinical Trials, Medication Administration, Oncology, Geriatrics, Radiology, Public Health, Orthopedics"
CP0238,Healthcare - Physical Therapist,Healthcare,Physical Therapist,"Therapy, Cardiology, Electronic Health Records, Patient Care, Healthcare Management, Pharmacology, Radiology, Clinical Trials, Anatomy, Sterilization"
CP0239,Finance - Financial Advisor,Finance,Financial Advisor,"Python for Finance, R Programming, Algorithmic Trading, IPOs, Loan Underwriting, CFA, Private Equity, Bloomberg Terminal, Valuation, Budgeting, Hedge Funds, Portfolio Management, FINRA"
CP0240,Healthcare - Physical Therapist,Healthcare,Physical Therapist,"Radiology, Medical Terminology, HIPAA, Treatment Planning, Cardiology, Epidemiology, Clinical Trials, Surgical Procedures, Healthcare Management, Medication Administration, Healthcare IT, Infection Control, ICD-10, Neurology, Care Planning, Wellness, Medical Billing, Pediatrics"
CP0241,Finance - Hedge Fund Analyst,Finance,Hedge Fund Analyst,"Financial Analysis, Private Equity, Forecasting, GAAP, Quantitative Analysis, Series 63, IFRS, Derivatives, Hedge Funds, Financial Statements, Portfolio Management"
CP0242,Healthcare - Veterinarian,Healthcare,Veterinarian,"Healthcare Regulations, Medical Records, Radiology, Public Health, Medical Terminology, Geriatrics, Clinical Trials, CPT Codes, Surgical Procedures, Sterilization, Pediatrics, Pharmacology, Pathology, Rehabilitation, Wellness, Mental Health, Nutrition"
CP0243,Healthcare - Mental Health Counselor,Healthcare,Mental Health Counselor,"Vital Signs, Healthcare Regulations, Wellness, Medical Diagnosis, Orthopedics, Medical Records, HIPAA, Wound Care, CPT Codes, Radiology, Pathology, Patient Assessment, Laboratory Procedures"
CP0244,Marketing - Social Media Manager,Marketing,Social Media Manager,"Content Strategy, A/B Testing, Illustrator, Press Releases, Social Media Marketing, HubSpot, Adobe Creative Suite, Content Creation, Marketing ROI, SEM, Product Positioning, Mailchimp, Canva, Marketo"
CP0245,Marketing - SEO Specialist,Marketing,SEO Specialist,"Social Media Marketing, Media Relations, Competitive Analysis, Hootsuite, Product Positioning, Buffer, Google Ads, Marketo, Copywriting, Lead Generation, Content Strategy, Blogging, Conversion Rate Optimization, Marketing ROI, Press Releases, Brand Management"
CP0246,Finance - Financial Advisor,Finance,Financial Advisor,"STATA, Insurance Planning, R Programming, SAS, Fixed Income, Financial Modeling, Series 63, Series 7, Investment Management, Hedge Funds, Portfolio Management, CFA, Tax Planning, Wealth Management, Algorithmic Trading, Forecasting, Estate Planning, IPOs, Valuation"
CP0247,Marketing - Brand Manager,Marketing,Brand Manager,"Copywriting, Product Positioning, Market Research, Video Marketing, Buffer, Competitive Analysis, Blogging, Campaign Management, Content Strategy, Marketing Strategy, Influencer Marketing, Brand Management, Affiliate Marketing, SEM, Marketing ROI, Google Ads, SEO, Marketing Metrics"
CP0248,Marketing - Public Relations Manager,Marketing,Public Relations Manager,"Competitive Analysis, Brand Management, Content Creation, Social Media Marketing, Google Analytics, Illustrator, SEM, HubSpot, Facebook Ads, Blogging, Campaign Management, Mobile Marketing, Email Marketing, Public Relations, Growth Hacking, Conversion Rate Optimization, User Acquisition"
CP0249,Finance - Compliance Officer,Finance,Compliance Officer,"Private Equity, Financial Analysis, Budgeting, Capital Markets, IPOs, Retirement Planning, Valuation, Algorithmic Trading, Credit Analysis, Investment Management, FINRA, Risk Assessment"
CP0250,Finance - Investment Banker,Finance,Investment Banker,"Bloomberg Terminal, VBA, Private Equity, R Programming, Series 7, Algorithmic Trading, IPOs, Tax Planning, Python for Finance, Credit Analysis, Equity Research, CFA, Investment Management, Estate Planning, Excel, Portfolio Management, Budgeting"
CP0251,Computer Science - UI/UX Designer,Computer Science,UI/UX Designer,"Docker, Python, CI/CD, Web Development, Figma, Game Development, Unity, Swift, Spark, Data Analysis, Agile, UI Design, TensorFlow, Sketch, Windows Server, Cybersecurity"
CP0252,Healthcare - Medical Researcher,Healthcare,Medical Researcher,"Infection Control, HIPAA, Mental Health, Surgical Procedures, Health Policy, Clinical Experience, CPT Codes, Medical Diagnosis, Orthopedics, Vital Signs, Physiology, Healthcare Management, Epidemiology, Medical Records, Geriatrics, Neurology, Radiology, Patient Care"
CP0253,Marketing - Product Marketing Manager,Marketing,Product Marketing Manager,"Canva, Social Media Marketing, Social Media Strategy, Competitive Analysis, Customer Retention, Market Research, Product Positioning, Photoshop, Marketing Analytics, Influencer Marketing, Customer Segmentation, Content Creation, Marketo"
CP0254,Computer Science - Backend Developer,Computer Science,Backend Developer,"Hadoop, Figma, Unity, Responsive Design, AR/VR, System Design, Deep Learning, Data Analysis, CSS, Adobe XD, C++, Flask, React.js, Security, NoSQL, Kubernetes, PyTorch"
CP0255,Computer Science - Game Developer,Computer Science,Game Developer,"Functional Programming, iOS, React.js, Linux, GraphQL, UI Design, SQL, Responsive Design, Ethical Hacking, Android, Data Visualization, C#, TensorFlow, Git, Node.js, AWS, Hadoop"
CP0256,Finance - Investment Banker,Finance,Investment Banker,"Bloomberg Terminal, Loan Underwriting, IPOs, Investment Management, Valuation, Retirement Planning, Derivatives, Insurance Planning, Series 7, Quantitative Analysis, IFRS"
CP0257,Healthcare - Pharmacist,Healthcare,Pharmacist,"Care Planning, Patient Assessment, Radiology, Pathology, Anatomy, Vital Signs, Electronic Health Records, Pediatrics, Neurology, Healthcare Management, Patient Education, Surgical Procedures, Sterilization, Mental Health, Clinical Experience, Geriatrics, Medical Diagnosis, Emergency Medicine, Cardiology"
CP0258,Healthcare - Pharmacist,Healthcare,Pharmacist,"Wellness, Patient Education, Laboratory Procedures, Clinical Trials, Healthcare Regulations, Rehabilitation, Medical Coding, Treatment Planning, Radiology, Medical Records, Nutrition, Wound Care, ICD-10, Clinical Experience, Geriatrics, Physiology, Patient Care, Emergency Medicine, Medical Diagnosis, Medication Administration"
CP0259,Healthcare - Mental Health Counselor,Healthcare,Mental Health Counselor,"Infection Control, Healthcare Regulations, Sterilization, Oncology, Cardiology, Medical Research, CPT Codes, Patient Care, Medical Diagnosis, HIPAA, Clinical Experience, Therapy, Emergency Medicine"
CP0260,Computer Science - Backend Developer,Computer Science,Backend Developer,"Git, Adobe XD, Django, Angular, Web Development, Test-Driven Development, System Design, Android, Data Visualization, Spring, CI/CD, DevOps, Blockchain, Swift, Unreal Engine, Ethical Hacking, Penetration Testing"
CP0261,Marketing - Public Relations Manager,Marketing,Public Relations Manager,"Marketing Metrics, HubSpot, Mailchimp, Photoshop, Affiliate Marketing, Canva, Blogging, Illustrator, Content Creation, Content Strategy, Social Media Marketing, Competitive Analysis"
CP0262,Healthcare - Medical Researcher,Healthcare,Medical Researcher,"Mental Health, Physiology, Surgical Procedures, Wound Care, Electronic Health Records, Neurology, Public Health, Medical Research, Medication Administration, Healthcare Regulations, Oncology, ICD-10, Cardiology, Healthcare IT, Care Planning"
CP0263,Finance - Portfolio Manager,Finance,Portfolio Manager,"Retirement Planning, Series 7, Regulatory Compliance, FINRA, Python for Finance, Algorithmic Trading, Accounting, Forecasting, Portfolio Management, Private Equity, Capital Markets, Credit Analysis, STATA, Loan Underwriting, Financial Modeling, Series 63, Wealth Management, Valuation"
CP0264,Healthcare - Dentist,Healthcare,Dentist,"Healthcare Regulations, Infection Control, Emergency Medicine, Medical Terminology, Pharmacology, Vital Signs, Healthcare Management, Physiology, Healthcare IT, Surgical Procedures, Orthopedics, Wound Care, CPT Codes, Cardiology, Sterilization, Radiology"
CP0265,Marketing - Social Media Manager,Marketing,Social Media Manager,"Brand Management, CRM, WordPress, Illustrator, Marketing Automation, Photoshop, A/B Testing, Google Ads, Facebook Ads, Marketing Metrics, Customer Retention, Digital Marketing, Market Research, Mobile Marketing, Competitive Analysis, Media Relations, User Acquisition, Marketo, SEO"
CP0266,Computer Science - Embedded Systems Developer,Computer Science,Embedded Systems Developer,"C#, Docker, Linux, Microservices, GraphQL, Vue.js, SQL, Angular, Kotlin, AWS, Git, NoSQL"
CP0267,Computer Science - UI/UX Designer,Computer Science,UI/UX Designer,"Python, Scikit-learn, Git, Game Development, Figma, Express.js, Cloud Computing, Linux, Kubernetes, Networking"
CP0268,Computer Science - Cybersecurity Analyst,Computer Science,Cybersecurity Analyst,"CSS, Responsive Design, Spark, Azure, Blockchain, Node.js, Adobe XD, Windows Server, Django, RESTful APIs, Kubernetes, JavaScript"
CP0269,Healthcare - Pharmacist,Healthcare,Pharmacist,"HIPAA, Nutrition, Emergency Medicine, Patient Education, Patient Assessment, Mental Health, Physiology, Anatomy, Wound Care, Infection Control, Healthcare IT, Diagnostic Testing, Pathology, CPT Codes, Neurology, Care Planning, Healthcare Regulations, Rehabilitation, Medical Diagnosis, Medical Terminology"
CP0270,Computer Science - Data Scientist,Computer Science,Data Scientist,"Flask, Kubernetes, Express.js, Kotlin, Spring, AWS, React.js, Ethical Hacking, Functional Programming, Git, RESTful APIs, Azure, Linux, Penetration Testing, GraphQL, Data Visualization, Natural Language Processing, Deep Learning, HTML"
CP0271,Marketing - Growth Hacker,Marketing,Growth Hacker,"Press Releases, Marketing ROI, Content Marketing, Conversion Rate Optimization, Brand Management, Customer Segmentation, Google Analytics, Lead Generation, SEM, SEO, Buffer, Copywriting, A/B Testing"
CP0272,Finance - Trader,Finance,Trader,"FINRA, Budgeting, IFRS, VBA, SAS, GAAP, Quantitative Analysis, Equity Research, Financial Analysis, Capital Markets, Mergers & Acquisitions, Derivatives, Financial Modeling, Private Equity, Retirement Planning, Risk Assessment, Valuation"
CP0273,Finance - Financial Advisor,Finance,Financial Advisor,"R Programming, Wealth Management, IPOs, Fixed Income, Equity Research, Regulatory Compliance, Financial Modeling, Financial Analysis, Series 7, Accounting, Insurance Planning, Capital Markets, Credit Analysis, Investment Management, Private Equity, Series 63, Mergers & Acquisitions, Financial Statements"
CP0274,Finance - Risk Manager,Finance,Risk Manager,"Retirement Planning, IPOs, Insurance Planning, FINRA, Python for Finance, Fixed Income, GAAP, Financial Modeling, Tax Planning, Due Diligence, Quantitative Analysis, Valuation, Bloomberg Terminal, Capital Markets, Financial Analysis"
CP0275,Healthcare - Mental Health Counselor,Healthcare,Mental Health Counselor,"Medical Diagnosis, Emergency Medicine, Infection Control, Care Planning, Orthopedics, Cardiology, ICD-10, Pathology, Neurology, Diagnostic Testing, Patient Education, Medical Research, Physiology, Clinical Experience, Rehabilitation, Therapy, Wound Care, Health Policy, Patient Care, Mental Health"
CP0276,Finance - Investment Banker,Finance,Investment Banker,"IFRS, Private Equity, FINRA, Financial Analysis, GAAP, Investment Management, Risk Assessment, IPOs, Regulatory Compliance, Valuation, Forecasting, Series 63, Wealth Management"
CP0277,Computer Science - Embedded Systems Developer,Computer Science,Embedded Systems Developer,"Natural Language Processing, Ethical Hacking, CI/CD, Django, Data Visualization, Functional Programming, Scrum, Vue.js, Cloud Computing, Agile, Node.js, Python, Test-Driven Development, Penetration Testing, SQL, Git, UX Design, Flask, Blockchain"
CP0278,Computer Science - Machine Learning Engineer,Computer Science,Machine Learning Engineer,"Spark, Git, Linux, Hadoop, Mobile Development, Azure, Android, Express.js, Microservices, Angular, PyTorch, NoSQL"
CP0279,Marketing - Content Strategist,Marketing,Content Strategist,"Marketo, Growth Hacking, Customer Retention, SEM, Hootsuite, Market Research, Email Marketing, Digital Marketing, Content Creation, Mailchimp, Blogging, Campaign Management, HubSpot, Product Positioning, CRM, Photoshop, Event Marketing, Public Relations"
CP0280,Computer Science - Embedded Systems Developer,Computer Science,Embedded Systems Developer,"DevOps, Angular, GraphQL, Vue.js, Cybersecurity, TensorFlow, Functional Programming, Unity, Node.js, Cloud Computing, Spring, Microservices, Java, Networking, Figma, Game Development, Adobe XD, SQL, C#, Ethical Hacking"
CP0281,Finance - Quantitative Analyst,Finance,Quantitative Analyst,"Insurance Planning, Credit Analysis, Fixed Income, Estate Planning, CFA, Valuation, Accounting, Series 63, GAAP, Financial Statements, FINRA, Retirement Planning"
CP0282,Finance - Financial Advisor,Finance,Financial Advisor,"SAS, Estate Planning, Quantitative Analysis, Risk Assessment, Hedge Funds, Wealth Management, Loan Underwriting, Tax Planning, Series 63, Budgeting, Series 7, Financial Statements, IFRS, Valuation, Credit Analysis, Python for Finance, STATA, Financial Analysis, Due Diligence"
CP0283,Marketing - Digital Marketing Specialist,Marketing,Digital Marketing Specialist,"Conversion Rate Optimization, Marketing ROI, CRM, Marketing Strategy, Digital Marketing, Marketing Automation, Public Relations, Google Ads, Marketing Analytics, Facebook Ads, Illustrator, Affiliate Marketing, Growth Hacking, Email Marketing, Canva, Press Releases, Media Relations, Buffer, Adobe Creative Suite, Influencer Marketing"
CP0284,Computer Science - Cloud Architect,Computer Science,Cloud Architect,"Networking, Ethical Hacking, Android, Linux, C#, Express.js, HTML, UX Design, AWS, Scrum, CSS, RESTful APIs, Spring"
CP0285,Healthcare - Healthcare Administrator,Healthcare,Healthcare Administrator,"Pharmacology, Infection Control, Medical Diagnosis, Pediatrics, Vital Signs, Wellness, Surgical Procedures, Physiology, Laboratory Procedures, Public Health, Medical Terminology, Neurology, Anatomy, Pathology"
CP0286,Finance - Portfolio Manager,Finance,Portfolio Manager,"Insurance Planning, R Programming, SAS, Financial Statements, Series 7, Excel, Python for Finance, Mergers & Acquisitions, Accounting, Budgeting, Algorithmic Trading, Portfolio Management"
CP0287,Finance - Auditor,Finance,Auditor,"Hedge Funds, Investment Management, IPOs, Forecasting, Loan Underwriting, Credit Analysis, Portfolio Management, Algorithmic Trading, R Programming, Insurance Planning, Financial Statements"
CP0288,Healthcare - Physician,Healthcare,Physician,"Infection Control, Treatment Planning, Therapy, Pharmacology, Clinical Trials, Electronic Health Records, Health Policy, Medical Diagnosis, Medication Administration, Neurology, Patient Care, Radiology, Emergency Medicine, Clinical Experience"
CP0289,Healthcare - Pharmacist,Healthcare,Pharmacist,"Geriatrics, Medication Administration, Medical Research, HIPAA, Neurology, Oncology, Healthcare IT, Treatment Planning, Pharmacology, Nutrition, Medical Billing, Cardiology, Public Health, Medical Terminology, Emergency Medicine, CPT Codes"
CP0290,Finance - Risk Manager,Finance,Risk Manager,"Retirement Planning, Private Equity, Regulatory Compliance, Financial Analysis, Insurance Planning, IPOs, Fixed Income, Wealth Management, SAS, Investment Management, GAAP, Financial Statements, Forecasting, Accounting, Loan Underwriting, Estate Planning, Mergers & Acquisitions, Bloomberg Terminal, Equity Research, Risk Assessment"
CP0291,Healthcare - Mental Health Counselor,Healthcare,Mental Health Counselor,"Neurology, Anatomy, Clinical Trials, Healthcare IT, Radiology, Healthcare Management, Infection Control, Medical Research, Orthopedics, Surgical Procedures, Patient Care, Therapy, Wound Care, Medical Coding, Laboratory Procedures, Health Policy"
CP0292,Finance - Auditor,Finance,Auditor,"Private Equity, VBA, Financial Modeling, Hedge Funds, STATA, Python for Finance, Risk Assessment, FINRA, SAS, Derivatives, IPOs"
CP0293,Computer Science - Software Engineer,Computer Science,Software Engineer,"Deep Learning, Django, Java, Unreal Engine, Express.js, Test-Driven Development, Penetration Testing, Computer Vision, React.js, UI Design, Microservices, Agile, Game Development, HTML, iOS, PyTorch, Azure, Adobe XD, Scikit-learn, Scrum"
CP0294,Marketing - Product Marketing Manager,Marketing,Product Marketing Manager,"Google Analytics, Customer Retention, Market Research, Social Media Strategy, A/B Testing, Lead Generation, WordPress, Marketing Metrics, Content Creation, Media Relations, Canva, Blogging, Competitive Analysis, SEO, Copywriting, Digital Marketing, Photoshop, Public Relations, Brand Management, Social Media Marketing"
CP0295,Computer Science - AI Research Scientist,Computer Science,AI Research Scientist,"Linux, Deep Learning, Unreal Engine, Django, CI/CD, Kubernetes, Blockchain, Docker, Vue.js, Natural Language Processing, Functional Programming, Python, Data Visualization, Game Development, Object-Oriented Programming, Spark, C#, Penetration Testing"
CP0296,Healthcare - Pharmacist,Healthcare,Pharmacist,"Diagnostic Testing, ICD-10, Patient Education, Medical Coding, Clinical Trials, Emergency Medicine, Medical Records, Rehabilitation, HIPAA, Therapy, Public Health, Wellness, Health Policy, Medical Terminology"
CP0297,Finance - Trader,Finance,Trader,"Hedge Funds, Loan Underwriting, Retirement Planning, Bloomberg Terminal, Excel, IPOs, Series 7, Insurance Planning, Mergers & Acquisitions, Financial Statements, Algorithmic Trading, GAAP, Accounting, Credit Analysis, FINRA, R Programming"
CP0298,Healthcare - Physician,Healthcare,Physician,"Cardiology, Medication Administration, Healthcare IT, Anatomy, Medical Research, Wellness, Oncology, Radiology, Epidemiology, Pediatrics, Medical Billing"
CP0299,Healthcare - Nutritionist,Healthcare,Nutritionist,"Healthcare Regulations, Medical Terminology, Pathology, Nutrition, Oncology, Infection Control, Cardiology, Pharmacology, Patient Care, Emergency Medicine"
CP0300,Finance - Risk Manager,Finance,Risk Manager,"Forecasting, GAAP, Mergers & Acquisitions, IPOs, Quantitative Analysis, Fixed Income, FINRA, CFA, Financial Statements, Series 63, Estate Planning"
CP0301,Finance - Financial Advisor,Finance,Financial Advisor,"Financial Modeling, Accounting, CFA, Estate Planning, Private Equity, Credit Analysis, SAS, Wealth Management, Hedge Funds, GAAP, Valuation, Python for Finance, STATA, Investment Management, Due Diligence"
CP0302,Finance - Financial Advisor,Finance,Financial Advisor,"Financial Modeling, Derivatives, Tax Planning, Regulatory Compliance, Credit Analysis, Risk Assessment, Financial Statements, IFRS, VBA, Hedge Funds, SAS, Loan Underwriting, Equity Research, Investment Management, Valuation, Insurance Planning"
CP0303,Computer Science - Software Architect,Computer Science,Software Architect,"DevOps, Kotlin, Deep Learning, Vue.js, Test-Driven Development, Data Visualization, Flask, SQL, Unity, Spring, Game Development"
CP0304,Finance - Investment Banker,Finance,Investment Banker,"IPOs, Credit Analysis, Capital Markets, Financial Analysis, Wealth Management, Derivatives, Regulatory Compliance, Accounting, Financial Statements, Portfolio Management, Hedge Funds, Tax Planning, Due Diligence, VBA, R Programming, Algorithmic Trading, CFA"
CP0305,Marketing - SEO Specialist,Marketing,SEO Specialist,"Growth Hacking, Marketo, Brand Management, Social Media Marketing, Facebook Ads, Customer Retention, Adobe Creative Suite, Hootsuite, Blogging, Google Analytics, Campaign Management, Buffer, Content Strategy, Content Marketing, User Acquisition, Canva, Social Media Strategy"
CP0306,Finance - Risk Manager,Finance,Risk Manager,"Tax Planning, Investment Management, IFRS, Hedge Funds, VBA, Financial Modeling, Excel, Derivatives, Series 7, Forecasting, GAAP, Risk Assessment, CFA, Algorithmic Trading"
CP0307,Finance - Trader,Finance,Trader,"Financial Analysis, Capital Markets, Series 7, Financial Modeling, Credit Analysis, Equity Research, Regulatory Compliance, Financial Statements, Portfolio Management, SAS, Derivatives, R Programming, Risk Assessment, Wealth Management, Investment Management, IFRS"
CP0308,Finance - Risk Manager,Finance,Risk Manager,"Insurance Planning, Loan Underwriting, STATA, Quantitative Analysis, R Programming, Accounting, IFRS, Capital Markets, Derivatives, SAS, GAAP, Portfolio Management, Forecasting, Regulatory Compliance"
CP0309,Healthcare - Medical Researcher,Healthcare,Medical Researcher,"Medical Research, Orthopedics, CPT Codes, Medical Terminology, Medical Coding, Wound Care, Anatomy, Medical Records, Geriatrics, Care Planning, Treatment Planning, Healthcare Management, Health Policy, Electronic Health Records, ICD-10"
CP0310,Computer Science - System Administrator,Computer Science,System Administrator,"Game Development, Docker, NoSQL, AR/VR, PyTorch, Data Analysis, Spring, Flask, Web Development, C++, Hadoop, Android, Windows Server, Cloud Computing, C#, Figma, Swift"
CP0311,Computer Science - Cloud Architect,Computer Science,Cloud Architect,"Ethical Hacking, Vue.js, Spark, Cybersecurity, Scrum, Docker, TensorFlow, JavaScript, Natural Language Processing, Big Data, Android, Mobile Development, Express.js, CSS, Unity, Game Development, Django, RESTful APIs"
CP0312,Computer Science - Network Engineer,Computer Science,Network Engineer,"Swift, React.js, Android, Angular, Agile, Web Development, Git, Test-Driven Development, Docker, Cybersecurity, Adobe XD, Java"
CP0313,Computer Science - Software Engineer,Computer Science,Software Engineer,"C++, Penetration Testing, Angular, Agile, Git, Cybersecurity, Sketch, RESTful APIs, Node.js, Data Visualization"
CP0314,Computer Science - AI Research Scientist,Computer Science,AI Research Scientist,"System Design, HTML, C++, AWS, GraphQL, Security, Object-Oriented Programming, Test-Driven Development, Ethical Hacking, Game Development, Web Development, Hadoop, Agile, Kubernetes, Adobe XD, Swift, Spring, Angular"
CP0315,Computer Science - System Administrator,Computer Science,System Administrator,"Penetration Testing, UI Design, CI/CD, Figma, React.js, AWS, TensorFlow, Unreal Engine, Object-Oriented Programming, Kubernetes, Hadoop, Networking"
CP0316,Computer Science - Cloud Architect,Computer Science,Cloud Architect,"UX Design, SQL, Sketch, iOS, Responsive Design, C++, Ethical Hacking, Windows Server, Cybersecurity, Python, Scrum, Spring, Swift, Flask, Scikit-learn, TensorFlow"
CP0317,Marketing - Brand Manager,Marketing,Brand Manager,"Hootsuite, Affiliate Marketing, Blogging, Canva, Market Research, Customer Segmentation, A/B Testing, Adobe Creative Suite, Email Marketing, Content Creation, Marketing Strategy, Mailchimp, Buffer, Event Marketing, Content Strategy"
CP0318,Marketing - SEO Specialist,Marketing,SEO Specialist,"SEO, Conversion Rate Optimization, Influencer Marketing, Brand Management, Adobe Creative Suite, A/B Testing, Content Marketing, Growth Hacking, HubSpot, Customer Retention, Press Releases, WordPress, Marketing Strategy, Social Media Strategy, Content Creation, Photoshop, Public Relations, Lead Generation, Social Media Marketing, Marketo"
CP0319,Finance - Risk Manager,Finance,Risk Manager,"Investment Management, IPOs, STATA, Excel, FINRA, Mergers & Acquisitions, Insurance Planning, R Programming, Loan Underwriting, Financial Analysis, Algorithmic Trading"
CP0320,Marketing - Campaign Manager,Marketing,Campaign Manager,"Growth Hacking, Press Releases, Media Relations, Content Creation, Affiliate Marketing, Google Analytics, A/B Testing, Marketo, Mailchimp, SEM, Customer Segmentation, Blogging"
